CCNE1	E2F1	CDC6	PCNA	RFC4	CDC2 	CCNA2	CCNB1	CDKN3
-0.77123	-0.21759	-1.142305	-0.021642	-0.844904	-2.35	0.115197	0.512573	0.763882
-0.924623	-1.432302	-0.776739	-0.793398	-0.411339	-2.45	0.370003	0.446277	-0.050484
-0.83501	-0.545364	-0.460522	-0.137349	-0.327194	-2.82	0.03052	0.415606	0.511455
0.427525	0.383401	0.417471	0.654906	-0.161426	-1.83	-1.155424	-0.222994	-0.044838
1.00162	0.326348	0.75001	0.74215	0.520479	-1.07	-1.560946	-0.517026	-0.587615
0.828917	0.705473	0.71168	0.92823	0.610493	-0.27	-1.049111	-0.522345	-0.680466
0.355943	-0.14388	0.561511	-0.207839	0.111295	0.34	-0.718589	-0.149199	-0.938959
-0.046597	0.532834	-0.065346	0.960051	0.246341	1.34	0.455701	-0.01924	0.195786
-0.217325	-0.348818	-0.380962	-0.251494	-0.03888	1.35	0.622964	0.08885	0.002713
-0.59197	-0.752194	-0.850846	-0.790394	-0.218505	0.88	0.457245	0.054934	0.16872
-0.277256	-0.126707	-0.284248	-0.717876	-0.237208	0.79	0.907805	0.659528	0.801714
0.465066	0.173647	-0.35169	-0.081503	-0.260305	-0.84	-0.721113	0.234764	0.929992
0.615384	0.498654	0.099536	0.175904	-0.078697	-0.56	-0.746319	-0.215996	-0.110563
0.303668	-0.247515	0.358345	-0.519661	-0.316611	-0.35	-1.256621	-0.77352	-0.506812
0.101578	0.482063	0.362027	0.516043	0.031937	0.34	-0.08998	-0.247855	-0.445663
0.066188	0.359616	-0.050746	0.287695	0.184209	0.62	0.17829	-0.495818	-0.447164
-0.046797	-0.621927	0.084152	-1.005806	0.095358	0.71	-0.047935	0.493163	-0.431901
-0.025775	-0.049812	0.261687	0.108907	0.255918	1.49	0.992104	0.433701	0.383762
-0.030332	0.873353	0.065459	0.302285	0.147906	1.18	0.913519	-0.187933	0.602178
