,AUROC,AUPR,multiply,method,group,group2
KOCMI_all,0.772408353,0.460604673,0.353588876,KOCMI,all,alldata
GENIE3_all,0.640772,0.2958822,0.186091296,GENIE3,all,alldata
ODE_all,0.6312324,0.305478,0.192747259,nonlinear-ODE,all,alldata
GENIMS_all,0.6972012,0.35052496,0.246567194,GENIMS,all,alldata
CLR_all,0.5509591,0.23959054,0.130629294,CLR,all,alldata
ARACNE_all,0.54132696,0.23012336,0.125506159,ARACNE,all,alldata
TIGRESS_all,0.6779442,0.3344514,0.228189384,TIGRESS,all,alldata
NIMEFI_all,0.6582482,0.30015756,0.195587222,NIMEFI,all,alldata
KOCMI_heter,0.587009103,0.342910981,0.20318674,KOCMI,heter,heterozygous
GENIE3_heter,0.52766886,0.2214,0.122850945,GENIE3,heter,heterozygous
ODE_heter,0.5478082,0.2341056,0.131211172,nonlinear-ODE,heter,heterozygous
GENIMS_heter,0.57950362,0.31386254,0.191666554,GENIMS,heter,heterozygous
CLR_heter,0.50406128,0.20020176,0.102551774,CLR,heter,heterozygous
ARACNE_heter,0.49659726,0.19846382,0.098888131,ARACNE,heter,heterozygous
TIGRESS_heter,0.6180982,0.2945724,0.186844528,TIGRESS,heter,heterozygous
NIMEFI_heter,0.4992398,0.22574736,0.116228213,NIMEFI,heter,heterozygous
KOCMI_null,0.601712406,0.3924208,0.238624966,KOCMI,null,null-mutants
GENIE3_null,0.59388076,0.2440492,0.142846122,GENIE3,null,null-mutants
ODE_null,0.5747908,0.2301476,0.130448826,nonlinear-ODE,null,null-mutants
GENIMS_null,0.63131336,0.2983022,0.187274773,GENIMS,null,null-mutants
CLR_null,0.5625146,0.2414264,0.135635547,CLR,null,null-mutants
ARACNE_null,0.563753898,0.2419716,0.136613687,ARACNE,null,null-mutants
TIGRESS_null,0.72340474,0.35848814,0.259920375,TIGRESS,null,null-mutants
NIMEFI_null,0.5577464,0.2240674,0.122682995,NIMEFI,null,null-mutants
KOCMI_times,0.755883461,0.398643028,0.301239426,KOCMI,times,trajectories
GENIE3_times,0.57614898,0.2248,0.130673327,GENIE3,times,trajectories
ODE_times,0.5616484,0.23899,0.13588393,nonlinear-ODE,times,trajectories
GENIMS_times,0.5730994,0.2785462,0.165196177,GENIMS,times,trajectories
CLR_times,0.53476994,0.23715135,0.127301521,CLR,times,trajectories
ARACNE_times,0.56440974,0.22591812,0.127479196,ARACNE,times,trajectories
TIGRESS_times,0.5694143,0.26714306,0.15401135,TIGRESS,times,trajectories
NIMEFI_times,0.5804438,0.2716698,0.159181616,NIMEFI,times,trajectories
