,AUROC,AUPR,multiply,method,group,group2
KOCMI_all,0.802441,0.500394,0.401572,KOCMI,all,alldata
GENIE3_all,0.772618,0.4154622,0.325326083,GENIE3,all,alldata
ODE_all,0.75286952,0.41284974,0.316689807,nonlinear-ODE,all,alldata
GENIMS_all,0.7575672,0.4063728,0.313283226,GENIMS,all,alldata
CLR_all,0.64908532,0.29789746,0.195381272,CLR,all,alldata
ARACNE_all,0.6306278,0.2902598,0.186061817,ARACNE,all,alldata
TIGRESS_all,0.71926184,0.396502,0.287903333,TIGRESS,all,alldata
NIMEFI_all,0.74002996,0.38009554,0.289758537,NIMEFI,all,alldata
KOCMI_times,0.781592,0.441398,0.346402,KOCMI,times,trajectories
GENIE3_times,0.733,0.3702,0.2774458,GENIE3,times,trajectories
ODE_times,0.696,0.3272,0.2368692,nonlinear-ODE,times,trajectories
GENIMS_times,0.68616032,0.34158992,0.240432636,GENIMS,times,trajectories
CLR_times,0.62248498,0.28277572,0.179309403,CLR,times,trajectories
ARACNE_times,0.5941782,0.268309,0.162336496,ARACNE,times,trajectories
TIGRESS_times,0.6633384,0.31994494,0.217163565,TIGRESS,times,trajectories
NIMEFI_times,0.6661942,0.3354276,0.233309574,NIMEFI,times,trajectories
KOCMI_knock,0.785982,0.535635,0.42403,KOCMI,knock,static series
GENIE3_knock,0.6839676,0.3181374,0.218880434,GENIE3,knock,static series
ODE_knock,0.65853754,0.28838906,0.191970785,nonlinear-ODE,knock,static series
GENIMS_knock,0.6578466,0.2925532,0.192679709,GENIMS,knock,static series
CLR_knock,0.5572004,0.22164692,0.12718136,CLR,knock,static series
ARACNE_knock,0.55024862,0.2181962,0.122226228,ARACNE,knock,static series
TIGRESS_knock,0.6809132,0.36392494,0.253982747,TIGRESS,knock,static series
NIMEFI_knock,0.7123826,0.36191116,0.260197205,NIMEFI,knock,static series
KOCMI_all,0.783787,0.4885165,0.385216,KOCMI,timesandsteady,
GENIE3_all,0.7084838,0.3441687,0.248163117,GENIE3,timesandsteady,
ODE_all,0.67726877,0.30779453,0.214419993,nonlinear-ODE,timesandsteady,
GENIMS_all,0.67200346,0.31707156,0.216556173,GENIMS,timesandsteady,
CLR_all,0.58984269,0.25221132,0.153245382,CLR,timesandsteady,
ARACNE_all,0.57221341,0.2432526,0.142281362,ARACNE,timesandsteady,
TIGRESS_all,0.6721258,0.34193494,0.235573156,TIGRESS,timesandsteady,
NIMEFI_all,0.6892884,0.34866938,0.24675339,NIMEFI,timesandsteady,
