"","regulator","target","weight","tpvalue"
"1","CFH","CD99",1,1.45088891038497e-11
"2","CFH","MGST1",1,1.45088891038497e-11
"3","CFH","RNF14",0,1
"4","CFH","MNAT1",0,1
"5","CFH","IFNGR1",0,1
"6","CFH","DAPK2",0,1
"7","CFH","MAT2B",0,1
"8","CFH","GUCA2B",0,1
"9","CFH","HSPA5",0,1
"10","CFH","MAPK9",0,1
"11","CFH","CYFIP2",0,1
"12","CFH","HIPK2",0,1
"13","CFH","ME1",0,1
"14","CFH","ELAVL1",0,1
"15","CFH","NEDD4",0,1
"16","CFH","POLB",0,1
"17","CFH","PVR",0,1
"18","CFH","FMO4",0,1
"19","CFH","TRAF4",0,1
"20","CFH","ICAM3",0,1
"21","CFH","MAP2",0,1
"22","CFH","CEACAM1",0,1
"23","CFH","PGR",0,1
"24","CFH","B4GALT1",0,1
"25","CFH","AURKA",0,1
"26","CFH","ABCC6",0,1
"27","CFH","PHGDH",0,1
"28","CFH","EP300",0,1
"29","CFH","CDKN3",0,1
"30","CFH","SLC10A1",0,1
"31","CFH","APEX1",0,1
"32","CFH","HNF4A",0,1
"33","CFH","PFDN4",0,1
"34","CFH","STS",0,1
"35","CFH","FMR1",0,1
"36","CFH","NFAT5",0,1
"37","CFH","TRPS1",0,1
"38","CFH","CDK6",0,1
"39","CFH","NAMPT",0,1
"40","CFH","PON2",0,1
"41","CFH","HBP1",0,1
"42","CFH","MET",0,1
"43","CFH","TYRP1",0,1
"44","CFH","TLX1",0,1
"45","CFH","SMURF2",0,1
"46","CFH","UBE2D3",0,1
"47","CFH","HSPA8",0,1
"48","CFH","CDKN1B",0,1
"49","CFH","CCNG1",0,1
"50","CFH","PPP2CA",0,1
"51","CFH","ATP6V0E1",1,1.45088891038497e-11
"52","CFH","WNT5A",0,1
"53","CFH","ADAM23",0,1
"54","CFH","SMYD1",0,1
"55","CFH","CD46",0,1
"56","CFH","SERPINC1",0,1
"57","CFH","CNR1",0,1
"58","CFH","ARG1",1,1.45088891038497e-11
"59","CFH","KLF9",0,1
"60","CFH","TAF12",0,1
"61","CFH","HSPH1",0,1
"62","CFH","ETF1",0,1
"63","CFH","CD80",0,1
"64","CFH","HNRNPA2B1",1,1.45088891038497e-11
"65","CFH","CKS2",0,1
"66","CFH","NCOA3",0,1
"67","CFH","BMP2",0,1
"68","CFH","UXT",0,1
"69","CFH","COX7C",1,2.3042532296437e-31
"70","CFH","GFER",0,1
"71","CFH","POR",1,1.45088891038497e-11
"72","CFH","HOXD9",0,1
"73","CFH","CDO1",1,1.45088891038497e-11
"74","CFH","REEP5",0,1
"75","CFH","ASH2L",0,1
"76","CFH","SLC27A1",0,1
"77","CFH","F12",1,1.45088891038497e-11
"78","CFH","IDO1",0,1
"79","CFH","PCNA",0,1
"80","CFH","ARNTL",0,1
"81","CFH","GRHL1",0,1
"82","CFH","ERCC5",0,1
"83","CFH","CTSL",0,1
"84","CFH","CD36",0,1
"85","CFH","HNRNPA1",1,1.45088891038497e-11
"86","CFH","EGLN1",0,1
"87","CFH","TXN",1,1.45088891038497e-11
"88","CFH","FXYD2",1,1.45088891038497e-11
"89","CFH","HCN4",0,1
"90","CFH","CYP11A1",0,1
"91","CFH","NCOR1",0,1
"92","CFH","PMAIP1",0,1
"93","CFH","ERBB2",0,1
"94","CFH","CREG1",0,1
"95","CFH","MGST3",0,1
"96","CFH","RFX5",0,1
"97","CFH","CERS2",0,1
"98","CFH","TP53BP2",0,1
"99","CFH","HAX1",0,1
"100","CFH","PIK3R1",0,1
"101","CFH","BHMT",1,1.45088891038497e-11
"102","CFH","BTF3",1,1.45088891038497e-11
"103","CFH","IL2RG",0,1
"104","CFH","CYP17A1",0,1
"105","CFH","GSTO1",0,1
"106","CFH","BMP6",0,1
"107","CFH","TOMM70",0,1
"108","CFH","UGT2B4",1,1.45088891038497e-11
"109","CFH","IL6R",0,1
"110","CFH","ACOX1",0,1
"111","CFH","LRP5",0,1
"112","CFH","CTSS",0,1
"113","CFH","KLF15",0,1
"114","CFH","AGGF1",0,1
"115","CFH","TLR3",0,1
"116","CFH","TERT",0,1
"117","CFH","ALDH1A1",1,1.45088891038497e-11
"118","CFH","ARF6",0,1
"119","CFH","NKX3.1",0,1
"120","CFH","CTNNB1",0,1
"121","CFH","TAP1",0,1
"122","CFH","JMJD7.PLA2G4B",0,1
"123","CFH","ADRB2",0,1
"124","CFH","KISS1",0,1
"125","CFH","HSPA4",0,1
"126","CFH","S1PR1",0,1
"127","CFH","PTGER4",0,1
"128","CFH","LGALS4",1,1.45088891038497e-11
"129","CFH","SMN1",0,1
"130","CFH","HPSE",0,1
"131","CFH","CKS1B",0,1
"132","CFH","EXO1",0,1
"133","CFH","MLXIP",0,1
"134","CFH","RPS6KA3",0,1
"135","CFH","TAF7",0,1
"136","CFH","NQO1",1,1.45088891038497e-11
"137","CFH","NPM1",0.95,8.07462417263231e-14
"138","CFH","CCL13",0,1
"139","CFH","SOX2",0,1
"140","CFH","CCR3",0,1
"141","CFH","WT1",0,1
"142","CFH","PBX1",0,1
"143","CFH","SLC51B",0,1
"144","CFH","BACE1",0,1
"145","CFH","USP7",0,1
"146","CFH","MAPK12",0,1
"147","CFH","SUPT3H",0,1
"148","CFH","ZNF239",0,1
"149","CFH","ABCB8",0,1
"150","CFH","SND1",0,1
"151","CFH","RORB",0,1
"152","CFH","MYCBP",0,1
"153","CFH","TRIM16",0,1
"154","CFH","HLA.DOB",0,1
"155","CFH","TDGF1",0,1
"156","CFH","UGT1A4",1,1.45088891038497e-11
"157","CFH","NEAT1",1,1.45088891038497e-11
"158","CFH","ITGB3",0,1
"159","CFH","CCL4",0,1
"160","CFH","HNF1B",0,1
"161","CFH","SIK1B",0,1
"162","CFH","CCL3",0,1
"163","GCLC","CD38",0,1
"164","GCLC","CALCR",0,1
"165","GCLC","PDK2",0,1
"166","GCLC","TBXA2R",0,1
"167","GCLC","ADIPOR2",0,1
"168","GCLC","NOS2",0,1
"169","GCLC","CD22",1,1.45088891038497e-11
"170","GCLC","NR1H4",0,1
"171","GCLC","ALOX5",0,1
"172","GCLC","CD74",0,1
"173","GCLC","RUNX3",0,1
"174","GCLC","HSD17B6",0,1
"175","GCLC","VIM",0,1
"176","GCLC","TNFRSF1B",0,1
"177","GCLC","OTC",0,1
"178","GCLC","FLT4",1,2.07238391929643e-16
"179","GCLC","RSF1",0,1
"180","GCLC","LTBP1",0,1
"181","GCLC","FOXC1",0,1
"182","GCLC","TRAF1",0,1
"183","GCLC","PRDM1",0,1
"184","GCLC","CREB3L3",0.95,1.50730606374115e-09
"185","GCLC","HDAC7",0,1
"186","GCLC","SPEN",0,1
"187","GCLC","PRKCQ",0,1
"188","GCLC","SPI1",0.9,1.03932875363746e-07
"189","GCLC","PFKP",0.9,0.00152752190298871
"190","GCLC","CBFB",0,1
"191","GCLC","RASSF1",0,1
"192","GCLC","ASNS",0.85,0.000118302814087541
"193","GCLC","CDC42",0,1
"194","GCLC","TCF3",1,1.67386385331379e-08
"195","GCLC","ATP2A3",0,1
"196","GCLC","ARHGEF1",0,1
"197","GCLC","NFKB2",1,1.605213679156e-17
"198","GCLC","FAP",0,1
"199","GCLC","LXN",0,1
"200","GCLC","LIPE",0,1
"201","GCLC","ARG2",0,1
"202","GCLC","MEF2C",0,1
"203","GCLC","EPB41L3",0,1
"204","GCLC","TRAF5",0,1
"205","GCLC","XPO1",0,1
"206","GCLC","REST",0,1
"207","GCLC","GSTP1",0,1
"208","GCLC","ATRX",0,1
"209","GCLC","MMP2",1,1.45088891038497e-11
"210","GCLC","ERP29",0,1
"211","GCLC","FUS",0,1
"212","GCLC","HEPH",0,1
"213","GCLC","TFAP4",0,1
"214","GCLC","TF",0,1
"215","GCLC","EPB41L4B",0.05,0.759013864228139
"216","GCLC","IL12RB1",0,1
"217","GCLC","NRP1",1,9.94545655594919e-17
"218","GCLC","LGALS1",1,1.45088891038497e-11
"219","GCLC","APOBEC3H",0.2,0.0427405942793399
"220","GCLC","PDGFB",0.5,0.000337881638030977
"221","GCLC","SLC8A3",0,1
"222","GCLC","DICER1",0,1
