"","weight","tpvalue"
"k_Archaea;p_Euryarchaeota",0,1
"k_Archaea;p_Thaumarchaeota",0,1
"k_Bacteria;p_Acidobacteria",0,1
"k_Bacteria;p_Actinobacteria",0.52,0.0102440644801067
"k_Bacteria;p_Armatimonadetes",0,1
"k_Bacteria;p_Bacteroidetes",0,1
"k_Bacteria;p_Candidatus Saccharibacteria",0,1
"k_Bacteria;p_Chlamydiae",0,1
"k_Bacteria;p_Chlorobi",0,1
"k_Bacteria;p_Chloroflexi",0,1
"k_Bacteria;p_Chrysiogenetes",0,1
"k_Bacteria;p_Cyanobacteria",0,1
"k_Bacteria;p_Deinococcus-Thermus",0.16,0.668106040291586
"k_Bacteria;p_Firmicutes",0.2,0.704655022188162
"k_Bacteria;p_Fusobacteria",0,1
"k_Bacteria;p_Gemmatimonadetes",0,1
"k_Bacteria;p_Ignavibacteriae",0,1
"k_Bacteria;p_Nitrospirae",0,1
"k_Bacteria;p_Planctomycetes",0,1
"k_Bacteria;p_Proteobacteria",0.24,0.507085716594723
"k_Bacteria;p_Spirochaetes",0,1
"k_Bacteria;p_Synergistetes",0,1
"k_Bacteria;p_Tenericutes",0,1
"k_Bacteria;p_Thermotogae",0,1
"k_Bacteria;p_Verrucomicrobia",0,1
"k_Eukaryota;p_Ascomycota",0,1
"k_Eukaryota;p_Basidiomycota",0.36,0.0435522114606648
"k_Eukaryota;p_Blastocladiomycota",0,1
"k_Eukaryota;p_Chytridiomycota",0,1
"k_Eukaryota;p_Cryptomycota",0,1
"k_Eukaryota;p_Mucoromycota",0,1
"k_Eukaryota;p_Olpidiomycota",0,1
"k_Viruses",0.24,0.699246765084738
"k_Viruses;p_Negarnaviricota",0,1
