"","weight","tpvalue"
"k_Archaea;p_Euryarchaeota",1,8.03902879244509e-21
"k_Archaea;p_Thaumarchaeota",0.2,0.234528583702706
"k_Bacteria;p_Acidobacteria",0.48,8.36924606535038e-06
"k_Bacteria;p_Actinobacteria",0.52,0.927178815359345
"k_Bacteria;p_Armatimonadetes",0.16,0.727302092572945
"k_Bacteria;p_Bacteroidetes",0.84,2.51262751317753e-12
"k_Bacteria;p_Candidatus Saccharibacteria",0.8,1.13382295091606e-09
"k_Bacteria;p_Chlamydiae",0.44,0.00155887493477583
"k_Bacteria;p_Chlorobi",0.36,0.0247655923660168
"k_Bacteria;p_Chloroflexi",0.32,0.0694178412902179
"k_Bacteria;p_Chrysiogenetes",0.48,0.0186490706643468
"k_Bacteria;p_Cyanobacteria",0.4,0.0111553104980293
"k_Bacteria;p_Deinococcus-Thermus",0.16,0.850674919802603
"k_Bacteria;p_Firmicutes",0.16,0.244827282768192
"k_Bacteria;p_Fusobacteria",0.24,0.0540738944580594
"k_Bacteria;p_Gemmatimonadetes",0.68,3.8133553783299e-07
"k_Bacteria;p_Ignavibacteriae",0.72,1.05877104497042e-07
"k_Bacteria;p_Nitrospirae",0.84,2.49537313063795e-10
"k_Bacteria;p_Planctomycetes",0.96,1.47483016995727e-18
"k_Bacteria;p_Proteobacteria",0.8,9.17171733015702e-11
"k_Bacteria;p_Spirochaetes",0.68,5.34183823873216e-09
"k_Bacteria;p_Synergistetes",0.84,3.24242668455784e-10
"k_Bacteria;p_Tenericutes",0.48,0.00813393756398793
"k_Bacteria;p_Thermotogae",0.24,0.0785084454805954
"k_Bacteria;p_Verrucomicrobia",0.24,0.374275177423607
"k_Eukaryota;p_Ascomycota",0.24,0.546632608088858
"k_Eukaryota;p_Basidiomycota",0.2,0.375716972104811
"k_Eukaryota;p_Blastocladiomycota",0.24,0.389269675143624
"k_Eukaryota;p_Chytridiomycota",0.44,0.00383836037279865
"k_Eukaryota;p_Cryptomycota",0.52,0.0022449424180152
"k_Eukaryota;p_Mucoromycota",1,1.07394851315454e-24
"k_Eukaryota;p_Olpidiomycota",0.2,0.435390730211667
"k_Viruses",0.48,8.25060348997443e-05
"k_Viruses;p_Negarnaviricota",0.2,0.418407739656668
