"","weight","tpvalue"
"k_Archaea;p_Euryarchaeota",0,1
"k_Archaea;p_Thaumarchaeota",0,1
"k_Bacteria;p_Acidobacteria",0,1
"k_Bacteria;p_Actinobacteria",0.28,0.17099193845729
"k_Bacteria;p_Armatimonadetes",0,1
"k_Bacteria;p_Bacteroidetes",0,1
"k_Bacteria;p_Candidatus Saccharibacteria",0,1
"k_Bacteria;p_Chlamydiae",0,1
"k_Bacteria;p_Chlorobi",0,1
"k_Bacteria;p_Chloroflexi",0,1
"k_Bacteria;p_Chrysiogenetes",0,1
"k_Bacteria;p_Cyanobacteria",0,1
"k_Bacteria;p_Deinococcus-Thermus",0.12,0.338654705676739
"k_Bacteria;p_Firmicutes",0.16,0.931963020406146
"k_Bacteria;p_Fusobacteria",0,1
"k_Bacteria;p_Gemmatimonadetes",0,1
"k_Bacteria;p_Ignavibacteriae",0,1
"k_Bacteria;p_Nitrospirae",0,1
"k_Bacteria;p_Planctomycetes",0,1
"k_Bacteria;p_Proteobacteria",0.24,0.358954463170933
"k_Bacteria;p_Spirochaetes",0,1
"k_Bacteria;p_Synergistetes",0,1
"k_Bacteria;p_Tenericutes",0,1
"k_Bacteria;p_Thermotogae",0,1
"k_Bacteria;p_Verrucomicrobia",0,1
"k_Eukaryota;p_Ascomycota",0,1
"k_Eukaryota;p_Basidiomycota",0.48,0.460685024141372
"k_Eukaryota;p_Blastocladiomycota",0,1
"k_Eukaryota;p_Chytridiomycota",0,1
"k_Eukaryota;p_Cryptomycota",0,1
"k_Eukaryota;p_Mucoromycota",0,1
"k_Eukaryota;p_Olpidiomycota",0,1
"k_Viruses",0.24,0.439583701345902
"k_Viruses;p_Negarnaviricota",0,1
