"","weight","tpvalue"
"k_Archaea;p_Euryarchaeota",1,4.70291928290377e-52
"k_Archaea;p_Thaumarchaeota",0.2,0.529078062516552
"k_Bacteria;p_Acidobacteria",1,1.84378337506091e-34
"k_Bacteria;p_Actinobacteria",1,1.76586193744221e-11
"k_Bacteria;p_Armatimonadetes",0.84,6.72935687796962e-13
"k_Bacteria;p_Bacteroidetes",1,3.23026124001717e-22
"k_Bacteria;p_Candidatus Saccharibacteria",0.48,0.000293222606498345
"k_Bacteria;p_Chlamydiae",1,4.43104068208813e-25
"k_Bacteria;p_Chlorobi",0.52,3.94836897175301e-05
"k_Bacteria;p_Chloroflexi",1,2.52617646053512e-59
"k_Bacteria;p_Chrysiogenetes",0.56,0.000174858461192494
"k_Bacteria;p_Cyanobacteria",1,3.10564982422413e-30
"k_Bacteria;p_Deinococcus-Thermus",0.2,0.447251098949192
"k_Bacteria;p_Firmicutes",1,4.13849777855418e-47
"k_Bacteria;p_Fusobacteria",1,3.80240510718577e-33
"k_Bacteria;p_Gemmatimonadetes",1,3.75854874755462e-19
"k_Bacteria;p_Ignavibacteriae",1,1.57134250418577e-22
"k_Bacteria;p_Nitrospirae",1,1.51584811991447e-45
"k_Bacteria;p_Planctomycetes",1,6.49020543700095e-40
"k_Bacteria;p_Proteobacteria",0.64,1.60545724832147e-06
"k_Bacteria;p_Spirochaetes",0.56,0.999079279400397
"k_Bacteria;p_Synergistetes",1,1.28991952766167e-46
"k_Bacteria;p_Tenericutes",0.56,0.000116841991408013
"k_Bacteria;p_Thermotogae",0.28,0.140400099551438
"k_Bacteria;p_Verrucomicrobia",0.88,2.10572998420985e-13
"k_Eukaryota;p_Ascomycota",1,7.41207567305327e-32
"k_Eukaryota;p_Basidiomycota",0.2,0.292136965565733
"k_Eukaryota;p_Blastocladiomycota",1,1.48064020134581e-48
"k_Eukaryota;p_Chytridiomycota",1,8.1788869162247e-41
"k_Eukaryota;p_Cryptomycota",0.96,2.88608715840864e-15
"k_Eukaryota;p_Mucoromycota",0.56,3.81416733041733e-05
"k_Eukaryota;p_Olpidiomycota",1,5.45989621834169e-24
"k_Viruses",1,3.60088350690631e-23
"k_Viruses;p_Negarnaviricota",1,1.48205889467319e-22
