"","weight","tpvalue"
"k_Archaea;p_Euryarchaeota",0,1
"k_Archaea;p_Thaumarchaeota",0,1
"k_Bacteria;p_Acidobacteria",0,1
"k_Bacteria;p_Actinobacteria",0.24,0.370228271997411
"k_Bacteria;p_Armatimonadetes",0,1
"k_Bacteria;p_Bacteroidetes",0.2,0.221302721483531
"k_Bacteria;p_Candidatus Saccharibacteria",0,1
"k_Bacteria;p_Chlamydiae",0,1
"k_Bacteria;p_Chlorobi",0,1
"k_Bacteria;p_Chloroflexi",0,1
"k_Bacteria;p_Chrysiogenetes",0,1
"k_Bacteria;p_Cyanobacteria",0.04,0.327286881279785
"k_Bacteria;p_Deinococcus-Thermus",0.36,0.129902011769122
"k_Bacteria;p_Firmicutes",0.12,0.805488175025029
"k_Bacteria;p_Fusobacteria",0,1
"k_Bacteria;p_Gemmatimonadetes",0,1
"k_Bacteria;p_Ignavibacteriae",0,1
"k_Bacteria;p_Nitrospirae",0,1
"k_Bacteria;p_Planctomycetes",0,1
"k_Bacteria;p_Proteobacteria",0.24,0.359026678604768
"k_Bacteria;p_Spirochaetes",0,1
"k_Bacteria;p_Synergistetes",0,1
"k_Bacteria;p_Tenericutes",0,1
"k_Bacteria;p_Thermotogae",0,1
"k_Bacteria;p_Verrucomicrobia",0,1
"k_Eukaryota;p_Ascomycota",0.04,0.965302851999255
"k_Eukaryota;p_Basidiomycota",0.44,0.0227983378614525
"k_Eukaryota;p_Blastocladiomycota",0,1
"k_Eukaryota;p_Chytridiomycota",0,1
"k_Eukaryota;p_Cryptomycota",0,1
"k_Eukaryota;p_Mucoromycota",0,1
"k_Eukaryota;p_Olpidiomycota",0,1
"k_Viruses",0.24,0.141539315505867
"k_Viruses;p_Negarnaviricota",0,1
