"","weight","tpvalue"
"k_Archaea;p_Euryarchaeota",0.16,0.438264824110984
"k_Archaea;p_Thaumarchaeota",0.28,0.125489928818163
"k_Bacteria;p_Acidobacteria",0.32,0.417585317723269
"k_Bacteria;p_Actinobacteria",0.28,0.083526130509993
"k_Bacteria;p_Armatimonadetes",0.2,0.959727303936946
"k_Bacteria;p_Bacteroidetes",0.16,0.850164040688022
"k_Bacteria;p_Candidatus Saccharibacteria",0.16,0.958895316133314
"k_Bacteria;p_Chlamydiae",0.2,0.58178963001318
"k_Bacteria;p_Chlorobi",0.16,0.573237514346582
"k_Bacteria;p_Chloroflexi",0.32,0.240190377395644
"k_Bacteria;p_Chrysiogenetes",0.4,0.00461573622630244
"k_Bacteria;p_Cyanobacteria",0.12,0.603954179501291
"k_Bacteria;p_Deinococcus-Thermus",0.4,0.0283498017802682
"k_Bacteria;p_Firmicutes",0.6,3.05221557629774e-06
"k_Bacteria;p_Fusobacteria",0.12,0.689737676039429
"k_Bacteria;p_Gemmatimonadetes",0.28,0.626180389946127
"k_Bacteria;p_Ignavibacteriae",0.32,0.078125145793122
"k_Bacteria;p_Nitrospirae",0.4,0.0757941454439927
"k_Bacteria;p_Planctomycetes",0.2,0.393289918735663
"k_Bacteria;p_Proteobacteria",0.32,0.470207841910974
"k_Bacteria;p_Spirochaetes",0.36,0.815627516435601
"k_Bacteria;p_Synergistetes",0.28,0.170599843172961
"k_Bacteria;p_Tenericutes",0.16,0.963429185448706
"k_Bacteria;p_Thermotogae",0.28,0.132402850678976
"k_Bacteria;p_Verrucomicrobia",0.32,0.0286418221744508
"k_Eukaryota;p_Ascomycota",0.52,0.000262839089666851
"k_Eukaryota;p_Basidiomycota",0.36,0.372573911584572
"k_Eukaryota;p_Blastocladiomycota",0.24,0.431235256147987
"k_Eukaryota;p_Chytridiomycota",0.2,0.90800096950186
"k_Eukaryota;p_Cryptomycota",0.32,0.503347442439048
"k_Eukaryota;p_Mucoromycota",0.16,0.558851328306299
"k_Eukaryota;p_Olpidiomycota",0.36,0.589207794637552
"k_Viruses",0.24,0.15841596411153
"k_Viruses;p_Negarnaviricota",0.2,0.835193268837363
