"","weight","tpvalue"
"k_Archaea;p_Euryarchaeota",0.24,0.274342835135321
"k_Archaea;p_Thaumarchaeota",0.4,0.101184573962719
"k_Bacteria;p_Acidobacteria",0.16,0.704898998735396
"k_Bacteria;p_Actinobacteria",0.56,7.93979397128167e-06
"k_Bacteria;p_Armatimonadetes",0.4,0.0121430740478091
"k_Bacteria;p_Bacteroidetes",0.24,0.318724443788492
"k_Bacteria;p_Candidatus Saccharibacteria",0.16,0.209905382077633
"k_Bacteria;p_Chlamydiae",0.2,0.272689753966928
"k_Bacteria;p_Chlorobi",0.16,0.590663416149985
"k_Bacteria;p_Chloroflexi",0.16,0.800358060033533
"k_Bacteria;p_Chrysiogenetes",0.16,0.914325055928859
"k_Bacteria;p_Cyanobacteria",0.2,0.39250712653618
"k_Bacteria;p_Deinococcus-Thermus",0.28,0.178722056000757
"k_Bacteria;p_Firmicutes",0.2,0.606636794361363
"k_Bacteria;p_Fusobacteria",0.16,0.917532381023245
"k_Bacteria;p_Gemmatimonadetes",0.36,0.27004307889862
"k_Bacteria;p_Ignavibacteriae",0.32,0.0395651933651643
"k_Bacteria;p_Nitrospirae",0.28,0.782987012688704
"k_Bacteria;p_Planctomycetes",0.4,0.120217379116853
"k_Bacteria;p_Proteobacteria",0.2,0.633457193126235
"k_Bacteria;p_Spirochaetes",0.76,0.00196726625248091
"k_Bacteria;p_Synergistetes",0.12,0.99689170489825
"k_Bacteria;p_Tenericutes",0.24,0.314267955409074
"k_Bacteria;p_Thermotogae",0.24,0.918111186937425
"k_Bacteria;p_Verrucomicrobia",0.36,0.168572375697027
"k_Eukaryota;p_Ascomycota",0.28,0.892710839220416
"k_Eukaryota;p_Basidiomycota",0.16,0.701449557398335
"k_Eukaryota;p_Blastocladiomycota",0.24,0.709417780975012
"k_Eukaryota;p_Chytridiomycota",0.16,0.74121828895571
"k_Eukaryota;p_Cryptomycota",0.2,0.387706384831851
"k_Eukaryota;p_Mucoromycota",0.36,0.0373615634799067
"k_Eukaryota;p_Olpidiomycota",0.2,0.81939518328494
"k_Viruses",0.24,0.775667155425363
"k_Viruses;p_Negarnaviricota",0.24,0.355656265239128
