"","weight","tpvalue"
"k_Archaea;p_Euryarchaeota",0.88,3.00661578476867e-11
"k_Archaea;p_Thaumarchaeota",0.84,1.67386113751002e-12
"k_Bacteria;p_Acidobacteria",0.8,1.87689550197688e-09
"k_Bacteria;p_Actinobacteria",0.4,0.0272828565440127
"k_Bacteria;p_Armatimonadetes",0.24,0.0625119870632667
"k_Bacteria;p_Bacteroidetes",1,3.91952849901281e-40
"k_Bacteria;p_Candidatus Saccharibacteria",1,7.46374547797459e-29
"k_Bacteria;p_Chlamydiae",1,2.01776879031084e-28
"k_Bacteria;p_Chlorobi",0.68,2.05762690714873e-07
"k_Bacteria;p_Chloroflexi",1,6.29099487224514e-41
"k_Bacteria;p_Chrysiogenetes",1,3.05745296423943e-57
"k_Bacteria;p_Cyanobacteria",1,1.66922058209342e-43
"k_Bacteria;p_Deinococcus-Thermus",1,1.31971206141632e-47
"k_Bacteria;p_Firmicutes",1,2.5684396135808e-52
"k_Bacteria;p_Fusobacteria",1,1.41832445633263e-50
"k_Bacteria;p_Gemmatimonadetes",1,2.54595580904069e-43
"k_Bacteria;p_Ignavibacteriae",1,1.40020784872034e-23
"k_Bacteria;p_Nitrospirae",1,3.74853599706759e-47
"k_Bacteria;p_Planctomycetes",1,4.34120521642318e-40
"k_Bacteria;p_Proteobacteria",0.96,9.37641591814552e-17
"k_Bacteria;p_Spirochaetes",0,1
"k_Bacteria;p_Synergistetes",1,4.43532236044865e-40
"k_Bacteria;p_Tenericutes",1,2.10038434612012e-34
"k_Bacteria;p_Thermotogae",1,5.55508293265081e-38
"k_Bacteria;p_Verrucomicrobia",1,8.00825475928599e-41
"k_Eukaryota;p_Ascomycota",1,9.44475454212544e-47
"k_Eukaryota;p_Basidiomycota",1,6.9638322909957e-31
"k_Eukaryota;p_Blastocladiomycota",1,5.56040252368845e-42
"k_Eukaryota;p_Chytridiomycota",1,6.93013406206828e-65
"k_Eukaryota;p_Cryptomycota",1,2.04140451487744e-42
"k_Eukaryota;p_Mucoromycota",1,2.08828005900592e-60
"k_Eukaryota;p_Olpidiomycota",0.96,1.73515381466257e-14
"k_Viruses",0.44,0.00357491727725509
"k_Viruses;p_Negarnaviricota",1,2.34429461112065e-43
