"","weight","tpvalue"
"k_Archaea;p_Euryarchaeota",0,1
"k_Archaea;p_Thaumarchaeota",0,1
"k_Bacteria;p_Acidobacteria",0,1
"k_Bacteria;p_Actinobacteria",0.32,0.272198368775552
"k_Bacteria;p_Armatimonadetes",0,1
"k_Bacteria;p_Bacteroidetes",0.2,0.332324926812378
"k_Bacteria;p_Candidatus Saccharibacteria",0,1
"k_Bacteria;p_Chlamydiae",0,1
"k_Bacteria;p_Chlorobi",0,1
"k_Bacteria;p_Chloroflexi",0,1
"k_Bacteria;p_Chrysiogenetes",0,1
"k_Bacteria;p_Cyanobacteria",0.32,0.339272162823775
"k_Bacteria;p_Deinococcus-Thermus",0.16,0.873064233017673
"k_Bacteria;p_Firmicutes",0.16,0.600676109226534
"k_Bacteria;p_Fusobacteria",0,1
"k_Bacteria;p_Gemmatimonadetes",0,1
"k_Bacteria;p_Ignavibacteriae",0,1
"k_Bacteria;p_Nitrospirae",0,1
"k_Bacteria;p_Planctomycetes",0,1
"k_Bacteria;p_Proteobacteria",0.24,0.934212023194249
"k_Bacteria;p_Spirochaetes",0,1
"k_Bacteria;p_Synergistetes",0,1
"k_Bacteria;p_Tenericutes",0,1
"k_Bacteria;p_Thermotogae",0,1
"k_Bacteria;p_Verrucomicrobia",0,1
"k_Eukaryota;p_Ascomycota",0.24,0.303768432972262
"k_Eukaryota;p_Basidiomycota",0.4,0.0276157484766932
"k_Eukaryota;p_Blastocladiomycota",0,1
"k_Eukaryota;p_Chytridiomycota",0,1
"k_Eukaryota;p_Cryptomycota",0,1
"k_Eukaryota;p_Mucoromycota",0,1
"k_Eukaryota;p_Olpidiomycota",0,1
"k_Viruses",0.36,0.0490853315461523
"k_Viruses;p_Negarnaviricota",0,1
